"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"213317_at",-3.08355136849367,9.29604899481308,-16.4630613850766,2.86879933395062e-31,5.60749610161593e-29,60.6469914303089,"CLIC5","chloride intracellular channel 5"
"217046_s_at",-3.03768888583216,7.8582212571028,-21.0692010767405,3.90725476693177e-40,6.21895414082433e-37,80.8856003236021,"AGER","advanced glycosylation end-product specific receptor"
"209116_x_at",-3.01602102949789,11.3424904249907,-12.882713863734,1.34034260346859e-23,8.5824293773249e-22,43.0927988852416,"HBB","hemoglobin subunit beta"
"38691_s_at",-2.98954925054504,13.3907164646636,-10.7082585122574,1.08411089205791e-18,3.62721366482378e-17,31.8587944296504,"SFTPC","surfactant protein C"
"204719_at",-2.95990968806756,7.83955245192523,-19.9447755213209,4.46566335096477e-38,3.20994762740477e-35,76.1956654807026,"ABCA8","ATP binding cassette subfamily A member 8"
"209904_at",-2.89797732587157,6.99578145203738,-16.6377581218015,1.25970965343943e-31,2.62337478575614e-29,61.4643891449872,"TNNC1","troponin C1, slow skeletal and cardiac type"
"209458_x_at",-2.84799874507777,11.7434577399159,-13.2742346413405,1.81729583204221e-24,1.33646214605269e-22,45.0797699050846,"HBA1","hemoglobin subunit alpha 1"
"209458_x_at",-2.84799874507777,11.7434577399159,-13.2742346413405,1.81729583204221e-24,1.33646214605269e-22,45.0797699050846,"HBA2","hemoglobin subunit alpha 2"
"209470_s_at",-2.83583721829521,7.34324780812149,-20.6959253662378,1.85201589025637e-39,2.17202474118856e-36,79.3462483449584,"GPM6A","glycoprotein M6A"
"211745_x_at",-2.82446863865201,11.8120778154112,-12.8929659490381,1.27179070802491e-23,8.19055270142168e-22,43.1450040323196,"HBA1","hemoglobin subunit alpha 1"
"211745_x_at",-2.82446863865201,11.8120778154112,-12.8929659490381,1.27179070802491e-23,8.19055270142168e-22,43.1450040323196,"HBA2","hemoglobin subunit alpha 2"
"217414_x_at",-2.81292332822168,11.244742463514,-12.9765752200557,8.29131401749135e-24,5.56492018830602e-22,43.5704101776642,"HBA2","hemoglobin subunit alpha 2"
"205725_at",-2.75742293856086,10.0886592742897,-7.26354672471073,6.06237131473733e-11,6.16839360759324e-10,14.1835686696873,"SCGB1A1","secretoglobin family 1A member 1"
"211699_x_at",-2.75306777789726,11.3383201691963,-13.0680569741695,5.19576671624793e-24,3.59556738317244e-22,44.0351576278263,"HBA1","hemoglobin subunit alpha 1"
"211699_x_at",-2.75306777789726,11.3383201691963,-13.0680569741695,5.19576671624793e-24,3.59556738317244e-22,44.0351576278263,"HBA2","hemoglobin subunit alpha 2"
"214414_x_at",-2.75107282160627,11.2713276547196,-13.3274477221473,1.38662888647383e-24,1.04181774988962e-22,45.3487282650952,"HBA1","hemoglobin subunit alpha 1"
"214414_x_at",-2.75107282160627,11.2713276547196,-13.3274477221473,1.38662888647383e-24,1.04181774988962e-22,45.3487282650952,"HBA2","hemoglobin subunit alpha 2"
"214199_at",-2.7166264973874,11.1129287443832,-12.9204019080555,1.10514463442477e-23,7.1795737285385e-22,43.2846668129682,"SFTPD","surfactant protein D"
"217232_x_at",-2.71113022802182,11.4497442363364,-13.6759834458888,2.37443812470494e-25,1.94520605635295e-23,47.1035101086801,"HBB","hemoglobin subunit beta"
"206658_at",-2.70631248795918,7.11419045364486,-16.0477186634002,2.06122192359911e-30,3.64525461298087e-28,58.6880935004504,"UPK3B","uroplakin 3B"
"203571_s_at",-2.70546276318719,8.55214836058878,-16.4311400075578,3.33572667026832e-31,6.29915232149059e-29,60.4972132982711,"ADIRF","adipogenesis regulatory factor"
"210299_s_at",-2.68417512565693,7.89053779552336,-19.928644647005,4.78520282968708e-38,3.33214608293491e-35,76.1272249413678,"FHL1","four and a half LIM domains 1"
"203065_s_at",-2.67774073700176,10.5754072129813,-18.7060572350626,9.90319234083252e-36,4.41345669861542e-33,70.843138561289,"CAV1","caveolin 1"
"204018_x_at",-2.65151300332688,11.8396058667757,-13.078202672756,4.93354862109239e-24,3.4247434244175e-22,44.0866533807755,"HBA1","hemoglobin subunit alpha 1"
"204018_x_at",-2.65151300332688,11.8396058667757,-13.078202672756,4.93354862109239e-24,3.4247434244175e-22,44.0866533807755,"HBA2","hemoglobin subunit alpha 2"
"204677_at",-2.61957336314814,8.00420388171963,-21.823603110818,1.77119293319051e-41,6.57791535504736e-38,83.9442168695745,"CDH5","cadherin 5"
"209894_at",-2.59434014675369,7.83540139329907,-16.9354523666098,3.12622650487953e-32,7.03653587961925e-30,62.8483041905602,"LEPR","leptin receptor"
"211696_x_at",-2.57698937164602,11.6217120746542,-13.046162619933,5.81028392722541e-24,3.97148947087006e-22,43.9239982232085,"HBB","hemoglobin subunit beta"
"206488_s_at",-2.56711535417382,7.57859119154206,-19.0277190183897,2.39099019853858e-36,1.32075855380924e-33,72.2519957741087,"CD36","CD36 molecule (CD36 blood group)"
"201540_at",-2.55504116710626,10.7720158038879,-20.2361931602999,1.28841513673014e-38,1.24825019529381e-35,77.4264192127301,"FHL1","four and a half LIM domains 1"
"206742_at",-2.55490155608797,8.98701687421495,-19.9753225347827,3.91819579402945e-38,2.91030522927861e-35,76.3251806878004,"VEGFD","vascular endothelial growth factor D"
"206742_at",-2.55490155608797,8.98701687421495,-19.9753225347827,3.91819579402945e-38,2.91030522927861e-35,76.3251806878004,"PIR-FIGF","PIR-FIGF readthrough"
"206209_s_at",-2.55350849621429,8.08208037337383,-22.0031116376778,8.56774637956661e-42,4.77287731439707e-38,84.6617955791039,"CA4","carbonic anhydrase 4"
"217546_at",-2.55057012117663,8.40562162639252,-13.2057616068618,2.57483246295279e-24,1.83894204397363e-22,44.7332866603425,"MT1M","metallothionein 1M"
"204931_at",-2.53009790955735,7.35600441296262,-21.1418298667391,2.8922407325504e-40,5.37065002028504e-37,81.18310488074,"TCF21","transcription factor 21"
"211726_s_at",-2.46807456403941,10.293901048729,-14.9563359663596,4.05645457449654e-28,5.1651415590575e-26,53.4388477620649,"FMO2","flavin containing dimethylaniline monoxygenase 2"
"206702_at",-2.46645478325159,8.46804697311215,-21.3574620124648,1.18849214341617e-40,2.58713780765492e-37,82.0625504064365,"TEK","TEK receptor tyrosine kinase"
"203323_at",-2.46410380477234,9.52283907152336,-15.8174316108289,6.20813456949381e-30,1.0024337870437e-27,57.5926461678759,"CAV2","caveolin 2"
"204731_at",-2.42220168031985,8.36735144693458,-19.1846448449584,1.20095089755301e-36,6.86174073081379e-34,72.9344795864151,"TGFBR3","transforming growth factor beta receptor 3"
"212097_at",-2.42030375389374,10.9838802776262,-17.6236321675311,1.30156402033236e-33,3.58479764992504e-31,66.003855350811,"CAV1","caveolin 1"
"209555_s_at",-2.41698373264814,8.26109862261682,-22.4232931968746,1.58849549762012e-42,1.76982225867346e-38,86.3263105582355,"CD36","CD36 molecule (CD36 blood group)"
"201539_s_at",-2.40134199975686,7.48521481831776,-17.8593790079008,4.44149056985269e-34,1.43434397634822e-31,67.0707587914033,"FHL1","four and a half LIM domains 1"
"203549_s_at",-2.38925756755982,9.99902350848598,-15.2294768250306,1.06709569687417e-28,1.47690021201535e-26,54.7661458335255,"LPL","lipoprotein lipase"
"204396_s_at",-2.3880717862727,8.67718884225234,-22.1928815869017,3.99225282542421e-42,2.96531232363093e-38,85.4161718486451,"GRK5","G protein-coupled receptor kinase 5"
"203548_s_at",-2.37120075060803,9.28788879356075,-14.3827568976969,6.88954415767072e-27,7.56254741208752e-25,50.6232338398064,"LPL","lipoprotein lipase"
"210298_x_at",-2.36360240651759,8.47389703043925,-18.287407467469,6.42056257590769e-35,2.42490501489747e-32,68.9894485582023,"FHL1","four and a half LIM domains 1"
"205819_at",-2.34417327198521,9.02694048318692,-12.2778384652437,3.01428693948723e-22,1.6462587223675e-20,39.9973255470421,"MARCO","macrophage receptor with collagenous structure"
"219866_at",-2.34282370976883,9.05992671952336,-16.1057643774644,1.56270737879042e-30,2.78574468172695e-28,58.9631636843044,"CLIC5","chloride intracellular channel 5"
"209469_at",-2.32730832933849,6.36763252818692,-18.0810916540207,1.62623654262812e-34,5.94056211137415e-32,68.0675771536829,"GPM6A","glycoprotein M6A"
"206701_x_at",-2.29893179844616,7.82647898683178,-19.861905856732,6.37130730013979e-38,4.30217698693984e-35,75.8437122222399,"EDNRB","endothelin receptor type B"
"213456_at",-2.29240526332935,7.28662612330841,-14.1051431209193,2.74969296172843e-26,2.74759678323743e-24,49.2471290930591,"SOSTDC1","sclerostin domain containing 1"
"221133_s_at",-2.26607584261084,7.90805096834579,-16.6469700103401,1.20633799509636e-31,2.53592731554078e-29,61.5073831688023,"CLDN18","claudin 18"
"210068_s_at",-2.26563096171745,7.97681888775701,-12.5782999625375,6.39740029505197e-23,3.84240622034078e-21,41.5386109805687,"AQP4","aquaporin 4"
"205261_at",-2.26224168748136,9.95681223281308,-11.7174522957393,5.52368496905097e-21,2.61325418610112e-19,37.1058370906834,"PGC","progastricsin"
"209493_at",-2.25984359943209,7.71080879957944,-15.8993005337015,4.19186068723204e-30,6.9382125332432e-28,57.9828440099455,"PDZD2","PDZ domain containing 2"
"218711_s_at",-2.25911256811858,7.83227120152336,-14.3931907821113,6.54139978567356e-27,7.25184136438627e-25,50.6747871747396,"CAVIN2","caveolae associated protein 2"
"205883_at",-2.25852915831633,8.24944734451402,-13.9595864963855,5.70025644574515e-26,5.45145126096734e-24,48.5222652791663,"ZBTB16","zinc finger and BTB domain containing 16"
"202112_at",-2.25847350861716,10.6017199527103,-20.3696029149857,7.31879008153693e-39,7.41293633576761e-36,77.9862710940984,"VWF","von Willebrand factor"
"202768_at",-2.2528727142741,9.79865327942991,-8.84177198503994,1.92099870624773e-14,3.40267203269619e-13,22.1506098104759,"FOSB","FosB proto-oncogene, AP-1 transcription factor subunit"
"210762_s_at",-2.24540195905208,10.255631661028,-14.3742400418992,7.18747902520921e-27,7.85091152542827e-25,50.581143427392,"DLC1","DLC1 Rho GTPase activating protein"
"218723_s_at",-2.243364731924,10.8336918646542,-16.9743411833064,2.60802909262273e-32,5.93007268070533e-30,63.0282506097696,"RGCC","regulator of cell cycle"
"205935_at",-2.22805788298065,8.32356754425234,-20.0687689796261,2.62809281066977e-38,2.16895526296868e-35,76.7206458852261,"FOXF1","forkhead box F1"
"204271_s_at",-2.22749191157635,8.7836255275514,-21.9420246998206,1.09651111476042e-41,4.88671143404128e-38,84.418039753376,"EDNRB","endothelin receptor type B"
"205569_at",-2.22559664983462,10.7273995494673,-12.6161525908137,5.26520618383743e-23,3.18816819006656e-21,41.7322856568288,"LAMP3","lysosomal associated membrane protein 3"
"209170_s_at",-2.22453822527903,7.91219361645794,-17.9719543861602,2.66461521934944e-34,9.57671305367156e-32,67.5776930639057,"GPM6B","glycoprotein M6B"
"221841_s_at",-2.21985514451513,9.68345450246729,-14.1826294297742,1.86698935520028e-26,1.93498250241525e-24,49.6320731411726,"KLF4","KLF transcription factor 4"
"206481_s_at",-2.21178255434061,9.16925082266355,-19.9821607456856,3.80520334773561e-38,2.91030522927861e-35,76.3541575492935,"LDB2","LIM domain binding 2"
"219597_s_at",-2.17652347704117,7.60833419566355,-20.4358254519649,5.53186002713894e-39,5.86983033260653e-36,78.263340309922,"DUOX1","dual oxidase 1"
"209167_at",-2.17365678650528,7.77271748978505,-17.9184247293212,3.39670828604923e-34,1.1826382927818e-31,67.3368503517904,"GPM6B","glycoprotein M6B"
"214091_s_at",-2.16680330984588,11.0883378167477,-15.9564191178634,3.18878642894686e-30,5.46582523047868e-28,58.2545843358428,"GPX3","glutathione peroxidase 3"
"205382_s_at",-2.15852323256017,9.29803302165421,-15.0651933016876,2.37990568461168e-28,3.11949637471777e-26,53.9688916249733,"CFD","complement factor D"
"206651_s_at",-2.1396536712843,8.26535773997196,-13.8729902404917,8.8047957114333e-26,8.07396143365712e-24,48.0899494092145,"CPB2","carboxypeptidase B2"
"221132_at",-2.13926588768614,7.68423578979439,-15.8883812930265,4.41706554060827e-30,7.1843409811222e-28,57.9308496820665,"CLDN18","claudin 18"
"212713_at",-2.11139929385222,9.1814529222243,-15.898723498221,4.20346762997726e-30,6.9382125332432e-28,57.9800967021977,"MFAP4","microfibril associated protein 4"
"201348_at",-2.11088226987403,11.7950269641308,-16.3636077505285,4.59116014270734e-31,8.52540178832898e-29,60.1799194180624,"GPX3","glutathione peroxidase 3"
"204343_at",-2.09606371686207,9.32017447617757,-12.4019790050083,1.58737833852235e-22,9.0003947881154e-21,40.6349657663501,"ABCA3","ATP binding cassette subfamily A member 3"
"204811_s_at",-2.0951139931492,9.26024778886916,-12.8288295915627,1.76651664129583e-23,1.11510737444745e-21,42.8182621673616,"CACNA2D2","calcium voltage-gated channel auxiliary subunit alpha2delta 2"
"200878_at",-2.08742540826355,11.953380323972,-18.7966579948793,6.62764516654776e-36,3.07674619262883e-33,71.2413150479359,"EPAS1","endothelial PAS domain protein 1"
"213936_x_at",-2.06093345944476,11.3232758033738,-9.34717577154021,1.37407226517775e-15,2.8508801010201e-14,24.7655993273456,"SFTPB","surfactant protein B"
"205206_at",-2.05500923845215,9.63444464906542,-13.7362773538377,1.75193186226733e-25,1.48434591965411e-23,47.4058357599154,"ANOS1","anosmin 1"
"205952_at",-2.04944326425545,7.85916657570093,-19.0185466766264,2.48942508908082e-36,1.32075855380924e-33,72.2120063897418,"KCNK3","potassium two pore domain channel subfamily K member 3"
"219529_at",-2.0325929938677,7.64716409673832,-13.0221399197216,6.5688025037362e-24,4.47622710063467e-22,43.8019830981648,"CLIC3","chloride intracellular channel 3"
"202524_s_at",-2.03189162242646,9.2070232838785,-18.3892363804487,4.06659866350277e-35,1.61814317890772e-32,69.4424130868587,"SPOCK2","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2"
"204975_at",-2.02715987073821,10.6101688395234,-16.4507686182562,3.0402802500993e-31,5.84022110456576e-29,60.5893279237587,"EMP2","epithelial membrane protein 2"
"202760_s_at",-2.01821540012703,9.36950908221495,-13.5756444729617,3.94147766556569e-25,3.13671238649286e-23,46.5995701541004,"PALM2AKAP2","PALM2 and AKAP2 fusion"
"206208_at",-2.00928437987403,6.63900695658879,-18.8925070235575,4.33839863699475e-36,2.10157688756857e-33,71.6614028973123,"CA4","carbonic anhydrase 4"
"206311_s_at",-2.00793818256298,7.66523476557009,-12.2656460845636,3.21044141323084e-22,1.73761620562939e-20,39.9346391191901,"PLA2G1B","phospholipase A2 group IB"
"209763_at",-2.00150917850633,7.76004999613084,-15.0710082898221,2.31316019456009e-28,3.04994962221198e-26,53.9971662298028,"CHRDL1","chordin like 1"
"213974_at",-1.9936949073582,6.84047985876636,-18.3513190458618,4.81969782781422e-35,1.85167804650318e-32,69.2739027462693,"ADAMTSL3","ADAMTS like 3"
"37512_at",-1.97824627140359,7.42067014769159,-10.9054618478273,3.85243742149214e-19,1.38012641580562e-17,32.8868042584682,"HSD17B6","hydroxysteroid 17-beta dehydrogenase 6"
"209897_s_at",-1.96687274553413,9.57286258576636,-17.8643474240019,4.3423107898922e-34,1.43434397634822e-31,67.0931665385276,"SLIT2","slit guidance ligand 2"
"209267_s_at",-1.96264154865763,9.91533596153271,-12.551605235085,7.33986182533315e-23,4.37310537577269e-21,41.4019571118423,"SLC39A8","solute carrier family 39 member 8"
"204072_s_at",-1.94567227709641,8.63239547620561,-14.2784493704841,1.15773340924233e-26,1.21687611123334e-24,50.1071882003085,"FRY","FRY microtubule binding protein"
"206167_s_at",-1.940184724557,6.98617560125234,-17.8187362690568,5.34330695751426e-34,1.67697054837028e-31,66.8873383669731,"ARHGAP6","Rho GTPase activating protein 6"
"213664_at",-1.93709124093913,8.74000714863551,-11.1063060592725,1.3446792933738e-19,5.22923013861227e-18,33.9327658156472,"SLC1A1","solute carrier family 1 member 1"
"204468_s_at",-1.93103162972695,8.29483749833645,-17.5685028533714,1.67532981425077e-33,4.3919263824647e-31,65.7533219974964,"TIE1","tyrosine kinase with immunoglobulin like and EGF like domains 1"
"205019_s_at",-1.93067204936172,9.11276070303738,-13.7507329936269,1.62885875687683e-25,1.39982423497551e-23,47.4782637107022,"VIPR1","vasoactive intestinal peptide receptor 1"
"219371_s_at",-1.92435652858867,9.83722269623365,-15.7791452556226,7.46180374623971e-30,1.18765266341042e-27,57.4098828244179,"KLF2","KLF transcription factor 2"
"206953_s_at",-1.92297734682195,8.03147379292523,-15.3893006127486,4.90499839925586e-29,7.0062871365781e-27,55.5386460597729,"ADGRL2","adhesion G protein-coupled receptor L2"
"209220_at",-1.92169647829345,8.18438887130841,-12.1561357362932,5.65849061651774e-22,2.97377703792134e-20,39.3711234187666,"GPC3","glypican 3"
"219777_at",-1.9101632446608,8.11256415802804,-13.8628814099149,9.26369184061582e-26,8.42542225650785e-24,48.0394314010482,"GIMAP6","GTPase, IMAP family member 6"
"209292_at",-1.90987047176953,6.31547914271963,-13.588556914401,3.69241312038637e-25,2.9490337477265e-23,46.6644782857871,"ID4","inhibitor of DNA binding 4"
"212636_at",-1.90306992045954,8.37949053909346,-14.9243066237028,4.74680520400922e-28,6.00983297505327e-26,53.2826253688499,"QKI","QKI, KH domain containing RNA binding"
"203865_s_at",-1.8991925178114,8.26821612824299,-18.5555528750872,1.93422644102182e-35,8.28853226640177e-33,70.1793495057909,"ADARB1","adenosine deaminase RNA specific B1"
"205326_at",-1.89775508273364,9.41386021904673,-15.8950440332922,4.27824297925764e-30,7.00971237549985e-28,57.9625775277021,"RAMP3","receptor activity modifying protein 3"
"207547_s_at",-1.89638636763899,8.10862416999065,-20.2157211599712,1.40549801234937e-38,1.25082382426407e-35,77.3403100748833,"FAM107A","family with sequence similarity 107 member A"
"209616_s_at",-1.89632656278044,9.55967695382243,-10.2203567989251,1.40620352851762e-17,4.02239194171478e-16,29.313270742925,"CES1","carboxylesterase 1"
"209616_s_at",-1.89632656278044,9.55967695382243,-10.2203567989251,1.40620352851762e-17,4.02239194171478e-16,29.313270742925,"CES1P1","carboxylesterase 1 pseudogene 1"
"214505_s_at",-1.88907486206862,8.7088632091028,-19.6526171900109,1.56917396092524e-37,1.02840892268521e-34,74.9509563923273,"FHL1","four and a half LIM domains 1"
"204482_at",-1.88827772944581,9.20338721933645,-19.0237863230683,2.43270573249944e-36,1.32075855380924e-33,72.2348514185497,"CLDN5","claudin 5"
"203887_s_at",-1.88173908916784,9.2555075846729,-14.7871949310729,9.3147638545131e-28,1.14044441192371e-25,52.6125070702164,"THBD","thrombomodulin"
"222162_s_at",-1.88116385807952,8.65056115883178,-10.8514317370657,5.11448229802288e-19,1.79240185051271e-17,32.6052339880534,"ADAMTS1","ADAM metallopeptidase with thrombospondin type 1 motif 1"
"213316_at",-1.8764116398012,6.51866265204673,-17.9389689434097,3.09441720225719e-34,1.09449045266503e-31,67.4293275947319,"JCAD","junctional cadherin 5 associated"
"204894_s_at",-1.86863650562632,8.98374679418692,-17.8621062767186,4.38676979533938e-34,1.43434397634822e-31,67.0830592743984,"AOC3","amine oxidase copper containing 3"
"204955_at",-1.8661850572157,8.45718019171028,-14.6124024942812,2.20679635334954e-27,2.60180122442793e-25,51.7550635525442,"SRPX","sushi repeat containing protein X-linked"
"212328_at",-1.86188565257038,9.93825086540187,-13.6022694921211,3.44518702989738e-25,2.77144774683044e-23,46.7333901713152,"LIMCH1","LIM and calponin homology domains 1"
"222043_at",-1.85878537468544,7.13509995927103,-11.4021724095522,2.86066389753108e-20,1.22821143793227e-18,35.4710103259639,"CLU","clusterin"
"205003_at",-1.85193360421429,8.75478689448598,-14.473589011664,4.38855196540103e-27,4.96396464187975e-25,51.0716212431961,"DOCK4","dedicator of cytokinesis 4"
"210906_x_at",-1.85061483796341,7.16207016268224,-11.636921599308,8.40314115509184e-21,3.83703267128917e-19,36.6887455676439,"AQP4","aquaporin 4"
"209047_at",-1.84755689947079,10.7691740975327,-9.71769599451688,1.97055848251989e-16,4.69123447286226e-15,26.6924043695737,"AQP1","aquaporin 1 (Colton blood group)"
"210002_at",-1.83654081952006,7.39553717401869,-14.3511017520735,8.0638963404266e-27,8.68057015235391e-25,50.4667527971175,"GATA6","GATA binding protein 6"
"218835_at",-1.83580612754433,13.303319120757,-7.1525884819296,1.05141059202602e-10,1.0334619418666e-09,13.6406976696606,"SFTPA2","surfactant protein A2"
"202746_at",-1.83541811605735,8.35273657004673,-14.9133326830884,5.00955206283391e-28,6.30665811390554e-26,53.2290724726423,"ITM2A","integral membrane protein 2A"
"203021_at",-1.81406056899683,11.7932038075607,-9.02329254980369,7.46357436242344e-15,1.39639653667407e-13,23.0875943810904,"SLPI","secretory leukocyte peptidase inhibitor"
"208982_at",-1.81391374177059,10.6673127988037,-20.757746372574,1.42961276219389e-39,1.87388595176273e-36,79.602390588281,"PECAM1","platelet and endothelial cell adhesion molecule 1"
"202242_at",-1.80470904366784,9.0231355307757,-13.7821652979949,1.39037290358057e-25,1.21496782001906e-23,47.6356763648019,"TSPAN7","tetraspanin 7"
"219436_s_at",-1.80385018960029,8.01355428673832,-17.3921358715715,3.76671456515971e-33,9.32596673949486e-31,64.9491868128865,"EMCN","endomucin"
"212224_at",-1.79184968445426,8.42469419028972,-9.58120393860164,4.03218066765787e-16,9.19642597926513e-15,25.9819068236653,"ALDH1A1","aldehyde dehydrogenase 1 family member A1"
"208609_s_at",-1.7910367589328,7.68597469881308,-17.9026371305416,3.64906182468968e-34,1.25095453291631e-31,67.2657472541227,"TNXB","tenascin XB"
"214433_s_at",-1.78296456154645,9.75710733195327,-12.1883239843588,4.78977608820343e-22,2.55336317161333e-20,39.5368445184983,"SELENBP1","selenium binding protein 1"
"221747_at",-1.77745502924877,10.196552879486,-17.7688929778993,6.70485796438236e-34,2.07506041694906e-31,66.6621037026165,"TNS1","tensin 1"
"202992_at",-1.77556603556791,9.44045517259813,-11.0461806600806,1.84246774400537e-19,6.94682042972447e-18,33.6197717911776,"C7","complement C7"
"222073_at",-1.77351799499684,8.85604767808411,-9.16511183604666,3.56015881535154e-15,6.99568067746722e-14,23.8214692053341,"COL4A3","collagen type IV alpha 3 chain"
"205779_at",-1.76885403218262,8.28092942399065,-19.3675728271755,5.40275047412758e-37,3.34415246708291e-34,73.726052300533,"RAMP2","receptor activity modifying protein 2"
"205632_s_at",-1.76377186844441,8.12897816673832,-15.6074051642005,1.706578004639e-29,2.55219313270945e-27,56.5878366458941,"PIP5K1B","phosphatidylinositol-4-phosphate 5-kinase type 1 beta"
"209291_at",-1.75777551917558,8.6691648297757,-11.704548457601,5.90765196445406e-21,2.75975280343668e-19,37.0390283233631,"ID4","inhibitor of DNA binding 4"
"209840_s_at",-1.75553804688143,7.5965004105514,-16.1975247723371,1.00961700016537e-30,1.82904842395813e-28,59.3971393263223,"LRRN3","leucine rich repeat neuronal 3"
"202878_s_at",-1.74853995848452,10.6624978896542,-17.6828338435563,9.9292983031013e-34,2.91124413273692e-31,66.2724572608791,"CD93","CD93 molecule"
"211548_s_at",-1.74596827774666,8.79090961206542,-6.96506106020454,2.64950168900469e-10,2.41764316691611e-09,12.730072902619,"HPGD","15-hydroxyprostaglandin dehydrogenase"
"214354_x_at",-1.74281095918614,12.3839821821589,-8.81788663650665,2.17505491295306e-14,3.82531559789528e-13,22.0275321997782,"SFTPB","surfactant protein B"
"212327_at",-1.73932375036348,10.534076698028,-13.706078345131,2.04001254200271e-25,1.70893231103182e-23,47.2544584978284,"LIMCH1","LIM and calponin homology domains 1"
"206068_s_at",-1.73772780175686,6.78306473764486,-18.8794433434867,4.59602162214036e-36,2.17900318736497e-33,71.6042170973832,"ACADL","acyl-CoA dehydrogenase long chain"
"207069_s_at",-1.71738168654152,7.58733910960748,-13.3160448198365,1.46933792977951e-24,1.08414758573765e-22,45.2911166231922,"SMAD6","SMAD family member 6"
"218087_s_at",-1.71479030972555,7.15257157856075,-12.3879502358329,1.70658499791598e-22,9.65173439303596e-21,40.5629653960925,"SORBS1","sorbin and SH3 domain containing 1"
"202759_s_at",-1.7144353844546,10.7096438071028,-17.4359190041194,3.07930725443099e-33,7.88691994833171e-31,65.1491888532798,"PALM2AKAP2","PALM2 and AKAP2 fusion"
"204115_at",-1.71349968793667,8.40377224163551,-12.7052254025204,3.33096150805328e-23,2.05038163767821e-21,42.1875704211514,"GNG11","G protein subunit gamma 11"
"209821_at",-1.71333418324982,6.65984019125234,-12.0770644989589,8.52416180141851e-22,4.41729994002346e-20,38.9637235012374,"IL33","interleukin 33"
"213541_s_at",-1.70588698984764,7.67247334308411,-15.4852255479866,3.08086706118071e-29,4.51651057396644e-27,56.0008077946166,"ERG","ETS transcription factor ERG"
"205357_s_at",-1.69910265594124,7.35429694220561,-19.9987125089286,3.5450972192535e-38,2.82126433345092e-35,76.4242709407091,"AGTR1","angiotensin II receptor type 1"
